raceno,racetitle,map,name1,name2,name3,name4,name5,time1,time2,time3,time4,time5,new_t3,new_t50,top50_time,totalPlayer,raceStart,url1,url2,url3,url4,url5,raceurl,race_metadata
330,No Eye For You,Polyphemus,Dawid,OatsFX,nksucks,Player,OG_Gamer2012,119783,120267,120417,120600,120650,1,0,123400,33284,1744358400000,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9fbf128f8cc5fcf61c14894f5a25e5259a521fbf9743d96e,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9fbf46d9db94f0ac1b11dc4f5672e576ca5719be9619d16a,https://data.ninjakiwi.com/btd6/users/9ceb41da8c91fff41c46db495c26e770990c1eb8ca108d3b,https://data.ninjakiwi.com/btd6/races/No_Eye_For_You_m99oguxv/leaderboard,https://data.ninjakiwi.com/btd6/races/No_Eye_For_You_m99oguxv/metadata
331,Trimming the Hedge,Hedge,Gumball,last,OG_Gamer2012,Pringleman :),TheChinese,119767,120250,120483,120500,120733,1,0,124183,40438,1744963200000,https://data.ninjakiwi.com/btd6/users/9cbb1ed88a90aba61e47db4c0c73b571ce0d1fb89b17dc3f,https://data.ninjakiwi.com/btd6/users/9fbf4582899ff8a64c40864d0c73e071c55119be9e45df3b,https://data.ninjakiwi.com/btd6/users/9ceb41da8c91fff41c46db495c26e770990c1eb8ca108d3b,https://data.ninjakiwi.com/btd6/users/9ce9468ad6c2ffad1c168e1f0e20e521cd0c1bedc813d03d,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/races/Trimming_the_Hedge_m9l3g3k0/leaderboard,https://data.ninjakiwi.com/btd6/races/Trimming_the_Hedge_m9l3g3k0/metadata
332,Alpine Skedaddle,AlpineRun,Myszkaedzio,PryHyperDry,OG_Gamer2012,i am rubbish,ALCOHOLISM,107617,107683,109183,109300,109550,0,0,131667,38127,1745568000000,https://data.ninjakiwi.com/btd6/users/9ce917898bc4aaac10108b4b5626e77ec9564ebd96148e6c,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9ceb41da8c91fff41c46db495c26e770990c1eb8ca108d3b,https://data.ninjakiwi.com/btd6/users/9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39,https://data.ninjakiwi.com/btd6/users/9fb81e8fdb94acf71a178b4d0b76e7719a561bba9e41d131,https://data.ninjakiwi.com/btd6/races/Alpine_Skedaddle_m9totvop/leaderboard,https://data.ninjakiwi.com/btd6/races/Alpine_Skedaddle_m9totvop/metadata
333,Cross Country,Downstream,PryHyperDry,warriorsin7,i am rubbish,I know,nksucks,129083,130000,130433,131233,131517,0,0,141450,38153,1746172800000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9fbf4582899ff8a64c40864d0c73e071c55119be9e45df3b,https://data.ninjakiwi.com/btd6/users/9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39,https://data.ninjakiwi.com/btd6/users/9ced11dfdb92fea41b4ad94e5675e474cd014fb4cc138a3b,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/races/Cross_Country_ma3ozous/leaderboard,https://data.ninjakiwi.com/btd6/races/Cross_Country_ma3ozous/metadata
334,Sugar Rush,CandyFalls,360kg,Nksucks,meg and dia,Mertex,Mertex,106533,106750,107000,107067,107517,0,0,114400,49644,1746777600000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39,https://data.ninjakiwi.com/btd6/users/9fbf4582899ff8a64c40864d0c73e071c55119be9e45df3b,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/races/Sugar_Rush_maf5av1k/leaderboard,https://data.ninjakiwi.com/btd6/races/Sugar_Rush_maf5av1k/metadata
335,You can say it gets pretty BAD,MoonLanding,Mertex,OG_Gamer2012,D,PryHyperDry,black sheep,109850,110733,110783,110833,111100,0,0,137333,7183,1747382400000,https://data.ninjakiwi.com/btd6/users/9fbc12ddd69ff1a41d448b4a0972e072cd554feacd12dc30,https://data.ninjakiwi.com/btd6/users/9ceb41da8c91fff41c46db495c26e770990c1eb8ca108d3b,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39,https://data.ninjakiwi.com/btd6/races/maqhx5vr/leaderboard,https://data.ninjakiwi.com/btd6/races/maqhx5vr/metadata
336,"Iced in, Locked in",KartsNDarts,Nksucks,Leohgyon,PryHyperDry,David,:D,147133,148133,148217,149000,149533,0,0,166417,26510,1747965600000,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9fbf108389c2f0f11b44d94c5d74e771c5001eef9a42dc6e,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9fbd11d98a94a8a64941dd495e27e675ce5614bd9745df6e,https://data.ninjakiwi.com/btd6/races/Iced_in_Locked_in_maztzir3/leaderboard,https://data.ninjakiwi.com/btd6/races/Iced_in_Locked_in_maztzir3/metadata
337,Fast Resort,LastResort,kltd crashout,tsp mo,OG_Gamer2012,Nksucks,AJAYA,135683,138800,141717,141850,142133,0,9,151517,11020,1748570400000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9fbf4582899ff8a64c40864d0c73e071c55119be9e45df3b,https://data.ninjakiwi.com/btd6/users/9ceb41da8c91fff41c46db495c26e770990c1eb8ca108d3b,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9ceb41de8a94f8a61c4b8f4a097be173c9071cea9c10db69,https://data.ninjakiwi.com/btd6/races/Fast_Resort_mb7cmqj3/leaderboard,https://data.ninjakiwi.com/btd6/races/Fast_Resort_mb7cmqj3/metadata
338,"Two Stranded, Too Stranded?",SpiceIslands,999b solarmass,Mikshake 2,syyver,Mikshake,Mikshake T3,126150,126600,128083,129417,130267,0,6,140833,32413,1749175200000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9fb81e838a97adad1f14dd190a73b524c9044eb99618db3b,https://data.ninjakiwi.com/btd6/users/9ced42dadd91a8a31d4b8b4c5625b770cd001bbdcd13d96c,https://data.ninjakiwi.com/btd6/users/9cb8438cd89fafa21a468c4c0d72ee23cc504fb9cf11de69,https://data.ninjakiwi.com/btd6/races/Two_Stranded_Too_Stranded_mbh9mmiq/leaderboard,https://data.ninjakiwi.com/btd6/races/Two_Stranded_Too_Stranded_mbh9mmiq/metadata
339,Line After Line,#Ouch,Baumfall,Plant BROI,13587738523,syyver,Unempl*yment,175433,184400,184617,188000,189917,0,13,283800,1689,1749780000000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9cb8438cd89fafa21a468c4c0d72ee23cc504fb9cf11de69,https://data.ninjakiwi.com/btd6/users/9fbd10dfdfc0aff319458c495b7ae726cb521ab49f108e30,https://data.ninjakiwi.com/btd6/users/9fb81e838a97adad1f14dd190a73b524c9044eb99618db3b,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/races/Line_After_Line_mbtm1se5/leaderboard,https://data.ninjakiwi.com/btd6/races/Line_After_Line_mbtm1se5/metadata
